Index,Song Title,Artist
7158,Christmastime ,The Smashing Pumpkins
10203,Cold December Night,Michael Bublé
1615,Colorado Christmas,Nitty Gritty Dirt Band
2463,Coming Home for Christmas,Jim Brickman
801,Cool Yule,Louis Armstrong with the Commanders
5742,Coventry Carol,Robert Shaw
4157,Cozy Little Christmas,Katy Perry
9770,Daddy's Drinking Up Our Christmas,Commander Cody
10241,Dearest Santa,Bobby Vinton
7464,Deck the Halls,Mannheim Steamroller
1288,Dig That Crazy Santa Claus,Ralph Marterie & His Orchestra
8284,Ding Dong, Ding Dong,George Harrison
68,Do They Know It's Christmas?,Band Aid
4563,Do They Know It's Christmas?,Glee Cast
854,Do You Hear What I Hear?,Bing Crosby
1500,Dominick the Donkey (The Italian Christmas Donkey),Lou Monte
10548,¿Dónde Está Santa Claus? (Where Is Santa Claus?),Augie Rios
3375,Don't Save It All for Christmas Day,Celine Dion
8441,Don't Shoot Me Santa,The Killers
1247,(Don't Wait 'Till) The Night Before Christmas,Eddy Duchin and his Orchestra
10754,Dreams of Fireflies (On a Christmas Night),Trans-Siberian Orchestra
7266,Early Christmas Morning,Cyndi Lauper
10483,Easier Said Than Done,Jon Anderson
6775,8 Days of Christmas,Destiny's Child
7965,Elf's Lament,Barenaked Ladies featuring Michael Bublé
3226,Even Santa Claus Gets the Blues,Marty Stuart
1639,Every Year Every Christmas,Luther Vandross
1476,(Everybody's Waitin' for) The Man with the Bag,Kay Starr
8911,Everyday Will Be Like a Holiday,William Bell
3784,Fa La La,Jim Brickman featuring Olivia Jade Archbold
174,Fall Softly Snow,Jim Ed Brown and Helen Cornelius
8536,Far Away Blues (Xmas Blues),Johnny Otis Orchestra with Little Esther
7317,Father Christmas,The Kinks
6238,Favorite Time of Year,India Arie & Joe Sample featuring Tori Kelly
7837,Feliz Navidad,José Feliciano
1008,Feliz Navidad,Clay Walker
6562,Feliz Navidad,Jon Secada
1868,The First Christmas,Danny Thomas
9371,The First Noel,Clay Aiken
5587,Footprints in the Snow,Bill Monroe and his Blue Grass Boys
1914,Frosty the Snowman,Gene Autry and the Cass County Boys
7354,Gabriel's Message,Sting
6448,Gee Whiz It's Christmas,Carla Thomas
3448,Ghost of My Christmas Past,Robin Meade
5119,The Gift,Jim Brickman
9421,The Gift of Giving,Bill Withers
3616,Give Love on Christmas Day,The Jackson 5
3424,Go Tell It on the Mountain,Peter Paul & Mary
6475,God Rest Ye Merry, Gentlemen,Garth Brooks
7288,Goin' Home (Sing a Song of Christmas Cheer),Bobby Sherman
1237,Grandma Got Run Over by a Reindeer,Elmo & Patsy
7023,A Great Big Sled,The Killers
8181,The Greatest Gift of All,Kenny Rogers and Dolly Parton
7522,Greatest Time of Year,Aly & AJ
8919,Green Chri$tma$,Stan Freberg
486,Grown-Up Christmas List,David Foster featuring Natalie Cole
401,Hangin' Round the Mistletoe,Brooks & Dunn
6588,Happy Birthday Jesus, Patti Page
6631,Happy Christmas Little Friend,Rosemary Clooney
403,The Happy Elf,Harry Connick Jr.
8921,Happy Holiday,Bing Crosby
1464,Happy Holiday/The Holiday Season,Andy Williams
10213,Happy New Year ,Judy Garland
1626,Happy New Year ,ABBA
4676,The Happy Reindeer,Russ Regan
4039,Happy Xmas (War Is Over),John and Yoko and The Plastic Ono Band with the Harlem Community Choir
4639,Hard Candy Christmas,Dolly Parton
9096,Hark! The Herald Angels Sing,Carrie Underwood
8113,Have Yourself a Merry Little Christmas,Judy Garland
5244,The Heart of Christmas,Matthew West
7208,Hello, Mr. Kringle,Kay Kyser and his Orchestra
2855,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
5388,Here It Is Christmas/Baby It's Cold Outside,Kenny Rogers featuring Jennifer Nettles
6429,Here's Your Sign Christmas,Bill Engvall
1884,Hey America,James Brown
1003,Hey Santa!,Carnie and Wendy Wilson
8640,Hitch a Ride with Santa,Jim Brickman with Charlie Alan
47,Holiday Hootenanny,Paul & Paula
2025,Holiday in Cambodia,Richard Cheese
3070,A Holly Jolly Christmas,Burl Ives
4348,A Holly Jolly Christmas,Alan Jackson
1983,A Holly Jolly Christmas,Michael Bublé
6237,A Holly Jolly Christmas,Lady Antebellum
7925,The Holly and the Ivy,Petula Clark
3585,Home for Christmas,Daryl Hall & John Oates
8519,Honky Tonk Christmas,Alan Jackson
3472,Hooray for Santa Claus,Al Hirt
2360,How Lovely Is Christmas,Bing Crosby
2505,Hurry Home for Christmas,Robert Goulet
5175,I Believe in Father Christmas,Greg Lake
5512,I Don't Intend to Spend Christmas Without You,Margo Guryan
657,I Don't Wanna Spend One More Christmas Without You,N Sync
10020,I Farted on Santa's Lap (Now Christmas Is Gonna Stink for Me),The Little Stinkers
6601,I Heard the Bells on Christmas Day,Bing Crosby
5409,I Only Want You for Christmas,Alan Jackson
10488,I Saw Mommy Kissing Santa Claus,Jimmy Boyd
10261,I Saw Three Ships,Sting
10339,I Want a Hippopotamus for Christmas,Gayla Peevey
5569,I Want Eddie Fisher for Christmas,Betty Johnson
8841,I Wish Everyday Could Be Like Christmas,Jon Bon Jovi
6666,I Wish It Could Be Christmas Everyday,Wilson Phillips
3550,I Won't Be Home for Christmas,Blink-182
10222,I Yust Go Nuts at Christmas,Yogi Yorgesson with the Johnny Duffy Trio
253,I'll Be Home,Meghan Trainor
8093,I'll Be Home for Christmas,Bing Crosby
4226,I'll Make Every Day Christmas (For My Woman),Joe Tex
363,I'm Gonna Be Warm This Winter,Connie Francis
10537,I'm Gonna Lasso Santa Claus,Brenda Lee
6163,I've Got My Love to Keep Me Warm,Les Brown & His Orchestra
9968,If Every Day Was Like Christmas,Elvis Presley with The Jordanaires and The Imperials Quartet
6511,If We Make It Through December,Merle Haggard
3504,It Came Upon a Midnight Clear,Daryl Hall & John Oates
3525,It Doesn't Have to Be That Way,Jim Croce
615,It May Be Winter Outside (But in My Heart It's Spring),Felice Taylor
7170,It Must Have Been the Mistletoe,Barbara Mandrell
7849,It Wasn't His Child,Sawyer Brown
6056,It Won't Be Christmas Without You,Brooks & Dunn
9360,It Won't Be the Same This Year,Vince Gill
8836,It Wouldn't Be Christmas (Without You),John Tesh
1726,It's Beginning to Look a Lot Like Christmas,Perry Como and The Fontane Sisters with Mitchell Ayres & His Orchestra
10378,It's Beginning to Look a Lot Like Christmas,Michael Bublé
5314,It's Christmas,Ronnie Milsap
9426,It's Christmas (All Over the World),Sheena Easton
6455,It's Christmas Time All Over the World,Sammy Davis Jr.
10288,(It's Gonna Be a) Lonely Christmas,The Orioles
1810,It's Just Another New Year's Eve,Barry Manilow
8680,It's So Close to Christmas (And I'm So Far From Home),The Bellamy Brothers
4626,It's the Most Wonderful Time of the Year,Andy Williams
5254,It's the Most Wonderful Time of the Year,Johnny Mathis
404,It's the Most Wonderful Time of the Year,Garth Brooks
10293,It's the Most Wonderful Time of the Year,BarlowGirl
366,It's the Most Wonderful Time of the Year,Harry Connick Jr.
6064,Jesu Joy of Man's Desiring,Josh Groban
4027,Jingle Bell Rock,Bobby Helms
10137,Jingle Bell Rock,Chet Atkins
8714,Jingle Bell Rock,Bobby Rydell & Chubby Checker
5965,Jingle Bell Rock,Brenda Lee
4890,Jingle Bell Rock,Daryl Hall & John Oates
7438,Jingle Bell Rock,George Strait
3819,Jingle Bell Rock,Aaron Tippin
4972,Jingle Bell Rock,Newsboys
9609,Jingle Bells,Benny Goodman and his Orchestra
6499,Jingo Jango,Bert Kaempfert and his Orchestra
178,Joy to the World,Mannheim Steamroller
3683,A Joyful Noise,Jo Dee Messina
5689,Just Put a Ribbon in Your Hair,Alan Jackson
5394,The Kid,Clint Black
8602,The Kid in Me,Craig Morgan
10123,A Kiss for Christmas (O Tannenbaum),Joe Dowell
4597,Kissin' by the Mistletoe,Aretha Franklin
3545,Last Christmas,Wham!
4079,Last Christmas,Ashley Tisdale
842,Last Christmas,Taylor Swift
9294,Last Christmas,Glee Cast featuring Lea Michele and Cory Monteith
4630,Last Christmas,Ariana Grande
4056,Last Christmas,Carly Rae Jepsen
6321,Leroy the Redneck Reindeer,Joe Diffie
4751,Let It Be Christmas,Alan Jackson
10523,Let It Snow,Boyz II Men
4338,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe and His Orchestra
2709,Let It Snow! Let It Snow! Let It Snow!,Connee Boswell and Russ Morgan and His Orchestra
7243,Let It Snow! Let It Snow! Let It Snow!,Bob Crosby and Orchestra
5159,Let It Snow! Let It Snow! Let It Snow!,Woody Herman and His Orchestra
2219,Let It Snow! Let It Snow! Let It Snow!,Dean Martin
5667,Let It Snow! Let It Snow! Let It Snow!,Ricochet
3506,Let It Snow! Let It Snow! Let It Snow!,Martina McBride
9240,Let It Snow! Let It Snow! Let It Snow!,George Strait
1503,Let It Snow! Let It Snow! Let It Snow!,Carly Simon
1685,Let It Snow! Let It Snow! Let It Snow!,Mannheim Steamroller
2912,Let It Snow! Let It Snow! Let It Snow!,Rod Stewart
8393,Let It Snow! Let It Snow! Let It Snow!,India Arie & Joe Sample
245,Let It Snow! Let It Snow! Let It Snow!,Pentatonix
10499,Let It Snow! Let It Snow! Let It Snow!,Seal
2437,Let's Light the Christmas Tree,Ruby Wright
29,Let's Make a Baby King,Wynonna Judd
1087,Let's Make Christmas Mean Something This Year,James Brown
8649,Let's Make Christmas Merry Baby,Amos Milburn and his Aladdin Chicken-Shackers
4946,Let's Start the New Year Right,Bing Crosby
1371,Let the Season Take Wing,Amy Grant
7260,Light of the Stable,Emmylou Harris
3235,Like It's Christmas,Jonas Brothers
3581,Li'l Elfy,Ray Bolger
10385,Little Altar Boy,Vic Dana
10176,Little Becky's Christmas Wish,Becky Lamb
8094,The Little Boy that Santa Claus Forgot,Vera Lynn
7149,The Little Drummer Boy (Carol of the Drum),Harry Simeone Chorale
4136,Little Saint Nick,The Beach Boys
3356,Little Sandy Sleighfoot,Jimmy Dean
2204,Lonesome Christmas,Lowell Fulson
2272,Love For Christmas,Felix Gross and his Orchestra
6739,Love Is,Leza Miller
1023,Love on Layaway,Gloria Estefan
2217,Macarena Christmas,Los del Río
2356,The Man with All the Toys,The Beach Boys
4327,Marshmallow World,Bing Crosby
2604,The Marvelous Toy,Chad Mitchell Trio
9210,Mary Did You Know,Kenny Rogers with Wynonna
8188,Mary's Boy Child,Harry Belafonte
1869,May Christmas Bring You Happiness,Luther
3024,May You Always,Harry Harrison
2810,Mele Kalikimaka,Bing Crosby with The Andrews Sisters
3251,Merry Christmas,Judy Garland
9473,Merry Christmas (I Don't Want to Fight Tonight),The Ramones
4297,Merry Christmas Baby,Johnny Moore's Three Blazers
1468,Merry Christmas Darling,The Carpenters
2255,Merry Christmas Everybody,Train
5401,Merry Christmas from the Family,Robert Earl Keen
5096,Merry Christmas Happy Holidays,N Sync
807,Merry Christmas in the NFL,Buckner & Garcia
10659,Merry Christmas Strait to You,George Strait
767,Merry Merry Christmas Baby,Dodie Stevens
1206,Merry Merry Merry Frickin' Christmas,Frickin' A
2474,Merry Twistmas,The Marcels
2319,Mistletoe ,Colbie Caillat
9249,Mistletoe ,Justin Bieber
3932,Mistletoe and Holly,Frank Sinatra
9996,The Mistletoe and Me,Isaac Hayes
4991,Monsters' Holiday,Bobby (Boris) Pickett and the Crypt-Kickers
7632,The More You Give (The More You'll Have),Michael Bublé
6937,Mr. Hankey the Christmas Poo,South Park
971,Must Be Santa,Lorne Greene with the Jimmy Joyce Children's Choir
2268,My Boyfriend's Coming Home for Christmas,Toni Wine
4784,My Christmas Card to You,The Partridge Family
2484,My Favorite Things,Herb Alpert & the Tijuana Brass
4683,My Mom and Santa Claus,George Jones
5127,My Only Wish (This Year),Britney Spears
7707,Natividad (Nativity),Harvie June Van
5251,New Year's Eve 1999,Alabama with Gretchen Peters
1555,A New York Christmas,Rob Thomas
6728,The Night Before Christmas ,Milton Cross
5535,The Night Before Christmas ,Carly Simon
8403,The Night Before Christmas Song,Rosemary Clooney & Gene Autry
8165,The Night Santa Went Crazy,Weird Al Yankovic
5682,Nina-Non,Joni James
9290,A Not So Merry Christmas,Bobby Vee
8615,The Nutcracker Suite,Arthur Fiedler and the Boston Pops
7585,Nuttin' for Christmas,Art Mooney and His Orchestra
Vocal by Barry Gordon
2900,O Bambino (One Cold and Blessed Winter),Harry Simeone Chorale
9825,O Come All Ye Faithful,Twisted Sister
9848,O Holy Night,John Berry
3066,O Little Town Of Bethlehem,Jo Stafford
9841,Oh Santa!,Mariah Carey
4093,O Tannenbaum,Vince Guaraldi Trio
9678,Oi to the World,The Vandals
8582,Oíche Chiún (Silent Night),Enya
5911,An Old Christmas Card,Jim Reeves
6852,The Old Man's Back in Town,Garth Brooks
4575,Old Time Christmas,George Strait
8600,Old Toy Trains,Roger Miller
8908,One Wish (for Christmas),Whitney Houston
5605,Our Winter Love,Bill Pursell
535,Paper Angels,Jimmy Wayne
6144,Parade of the Wooden Soldiers,Vincent Lopez Orchestra
10688,Peace on Earth/Little Drummer Boy,David Bowie & Bing Crosby
7066,Please Come Home for Christmas,Charles Brown
8577,Please Daddy (Don't Get Drunk This Christmas),John Denver
720,Please Uncle Sam (Send Back My Man),The Charmels
8902,Po' Folks' Christmas,Bill Anderson and The Po' Boys
75,Presents for Christmas,Solomon Burke
1923,Pretty Paper,Roy Orbison
6464,Put a Little Holiday in Your Heart,LeAnn Rimes
6210,Put Christ Back Into Christmas,Red Foley with The Anita Kerr Singers
6896,The Real Meaning of Christmas,Ray Conniff and The Singers
3158,Redneck 12 Days of Christmas,Jeff Foxworthy
10285,Reindeer Boogie,Trisha Yearwood
10251,Remember Bethlehem,Dee Mullins
1267,Ring Out Solstice Bells,Jethro Tull
5532,Ring Those Christmas Bells,Peggy Lee
7133,River,Barry Manilow
3320,Rock and Roll Christmas,George Thorogood & the Destroyers
9691,Rockin' Around the Christmas Tree,Brenda Lee
6793,Rockin' Around the Christmas Tree,Alabama
10422,Rockin' Around the Christmas Tree,LeAnn Rimes
1046,Rockin' Around the Christmas Tree,MercyMe
7135,Rockin' Little Christmas,Carlene Carter
6122,Rudolph the Red-Nosed Reindeer,Gene Autry & the Pinafores
8481,Run Rudolph Run,Chuck Berry
4467,Run Rudolph Run,Luke Bryan
4269,Same Old Lang Syne,Dan Fogelberg
2384,Santa Baby,Eartha Kitt with Henri Rene & His Orchestra
4556,Santa Baby (Gimme Gimme Gimme),Willa Ford
5793,Santa Bring My Baby Back (To Me),Elvis Presley
5484,Santa Claus and His Old Lady,Cheech & Chong
1856,The Santa Claus Boogie,The Tractors
4899,Santa Claus Go Straight to the Ghetto,James Brown
3601,Santa Claus Got Stuck in My Chimney,Ella Fitzgerald
8040,Santa Claus Is Back in Town,Elvis Presley
1905,Santa Claus Is Comin' (In a Boogie Woogie Choo Choo Train),The Tractors
9914,Santa Claus Is Comin' to Town,George Hall and the Hotel Taft Orchestra
8504,Santa Claus Is Definitely Here to Stay,James Brown
4815,Santa Claus Is Watching You,Ray Stevens
7080,Santa Claus Lane,Hilary Duff
5300,Santa Got Lost In Texas,Jeff Carson
10192,Santa I'm Right Here,Toby Keith
10022,Santa Looked a Lot Like Daddy,Buck Owens
8747,Santa Tell Me,Ariana Grande
3523,Santa's a Fat Bitch,Insane Clown Posse
984,Santa's Coming for Us,Sia
2487,Santa's Gonna Come in a Pickup Truck,Redneck Carollers
5059,Santa's Got a Semi,Keith Harling
7910,Save the Best for Last (Christmas version),Vanessa L. Williams
3487,Season of Love,98 Degrees
5700,The Secret of Christmas,Bing Crosby
6976,Sending You a Little Christmas,Jim Brickman featuring Kristy Starling
7675,Shake Hands with Santa Claus,Louis Prima & His Orchestra
16,Shake Up Christmas,Train
10206,Silent Night,Bing Crosby
10219,Silver and Gold,Burl Ives
7193,Silver Bells,Bing Crosby & Carole Richards
7330,Six Tons of Toys,Paul Brandt
10322,Sleigh Ride,Arthur Fiedler and the Boston Pops
4015,Sleigh Ride,The Ronettes
6945,Sleigh Ride,Dolly Parton
8553,Sleigh Ride,TLC
7050,Sleigh Ride,Lorrie Morgan
6814,Sleigh Ride,Garth Brooks
2170,Slipping Into Christmas,Leon Russell
3960,Snoopy's Christmas,The Royal Guardsmen
8137,Snow,Claudine Longet
3589,Snowbound for Christmas,The DeCastro Sisters
3774,Snowfall,Claude Thornhill and His Orchestra
10642,Snow Flake,Jim Reeves
7177,Snowflakes of Love,Toni Braxton
9417,SnowTime,James Taylor
1859,Someday at Christmas,Stevie Wonder
6265,Someday at Christmas,Stevie Wonder and Andra Day
1168,Someone Is Missing At Christmas,Anne Cochran
6672,Song for a Winter's Night,Sarah McLachlan
3046,The Sound of Christmas,Ramsey Lewis Trio
1182,The Star,Mariah Carey
1692,Step Into Christmas,Elton John
8929,Suzy Snowflake,Rosemary Clooney
4148,Sweet Little Baby Boy,James Brown
8869,A Swingin' Little Christmas,Jane Lynch featuring Kate Flannery & Tim Davis with The Tony Guerrero Quintet
4593,Take Me Back to Toyland,Nat King Cole
7538,Tennessee Christmas,Amy Grant
2679,Thank God for Kids,Oak Ridge Boys
8030,Thank God It's Christmas,Queen
839,Thanks for Christmas,XTC
4322,That Holiday Feeling,Steve and Eydie
4413,That's Christmas to Me,Pentatonix
3366,That's What I Want for Christmas,Nancy Wilson
9301,There Is No Christmas Like a Home Christmas,Perry Como
6928,There Won't Be Any Snow (Christmas in the Jungle),Derrik Roberts
6414,(There's No Place Like) Home for the Holidays,Perry Como
1213,(There's No Place Like) Home for the Holidays,Garth Brooks
4490,(There's No Place Like) Home for the Holidays,Cyndi Lauper & Norah Jones
3444,Thirty-Two Feet – Eight Little Tails,Gene Autry
5487,This Christmas ,Donny Hathaway
5170,This Christmas ,Matthew and Gunnar Nelson featuring Alyssa Bonagura
1580,This Gift,98°
3148,This Is Your Gift,John Tesh
3526,This One's for the Children,New Kids on the Block
10125,This Time of the Year,Brook Benton
4333,Til Santa's Gone (Milk and Cookies),Clint Black
6733,Time Passages,Al Stewart
3447,Toyland,Doris Day
2017,Trains and Winter Rains,Enya
2643,Twas the Night After Christmas,Jeff Foxworthy
7252,Twas the Night Before Christmas (A Visit from St. Nicholas),Fred Waring and His Pennsylvanians
2800,The Twelve Days of Christmas,Mitch Miller and the Gang
3206,The Twelve Gifts of Christmas,Allan Sherman
5869,25th of Last December,Roberta Flack
2292,2000 Miles,The Pretenders
96,Twinkle Twinkle Little Me,The Supremes
5842,Twistin' Bells,Santo & Johnny
4276,Underneath the Tree,Kelly Clarkson
234,Up on the House Top,Kimberley Locke
1399,Warm & Fuzzy,Billy Gilman
4590,We Need a Little Christmas,Angela Lansbury and Cast
2184,We Three Kings (Star of Wonder),BlackHawk
2203,We Wish You a Merry Christmas,Kenny G
8313,Welcome Christmas,The Who Village Choir
6347,What Are You Doing New Year's Eve?,The Orioles
9141,What Can You Get a Wookiee for Christmas (When He Already Owns a Comb?),The Star Wars Intergalactic Droid Choir & Chorale
9100,What Child Is This?,Mark Chesnutt
1775,What Christmas Means to Me,Stevie Wonder
10445,What Does Christmas Mean?,Louis York featuring The Shindellas
10705,What Will Santa Claus Say (When He Finds Everybody Swingin'?),Louis Prima and his New Orleans Gang
1702,What Will the New Year Bring?,Donna Fargo
6220,Whatever Happened to Christmas?,Frank Sinatra
5273,When a Child Is Born,Michael Holm
8720,When Winter Comes,Artie Shaw & his Orchestra
5769,Where Are You Christmas?,Faith Hill
1928,White Christmas,Bing Crosby
2101,White Is in the Winter Night,Enya
1302,The White World of Winter,Bing Crosby
2329,Who Took the Merry Out of Christmas,The Staple Singers
7777,Why Couldn't It Be Christmas Every Day?,Bianca Ryan
777,Will Santy Come to Shanty Town,Eddy Arnold the Tennessee Plowboy and his Guitar
3406,Winter,Spike Jones and his City Slickers
1997,Winter Weather,Benny Goodman
7505,Winter Wonderland,Guy Lombardo and His Royal Canadians
